ccaa, poblacion
España,47.450.795
Andalucía,8.464.411
Aragón,1.329.391
Asturias,1.018.784
Baleares,1.171.543
Canarias,2.175.952
Cantabria,582.905
Castilla y Leon,2.394.918
Castilla La Mancha,2.045.221
Cataluña,7.780.479
C. Valenciana,5.057.353
Extremadura,1.063.987
Galicia,2.701.819
Madrid,6.779.888
Murcia,1.511.251
Navarra,661.197
País Vasco,2.220.504
La Rioja,319.914
Ceuta,84.202
Melilla,87.076
